new_num	new_name	facet	stage	site_count	sample_old_cerrs
30201	invalid_local_tuple_expansion	invalid	3	1	invalid_type
30202	invalid_local_type	invalid	3	1	invalid_variable_type
30203	invalid_macro_context	invalid	3	1	(empty)
30204	invalid_macro_read	invalid	3	1	unsupported_read_macro
30205	invalid_macro_tag	invalid	3	1	unbound_macro_tag
30206	invalid_macro_type	invalid	3	1	invalid_type
30207	invalid_memzero_argument	invalid	3	1	invalid_argument_type
30208	invalid_memzero_argument_count	invalid	3	1	invalid_argument_count
30209	invalid_memzero_argument_type	invalid	3	1	invalid_argument_type
30210	invalid_module_name	invalid	3	1	invalid_name
30211	invalid_new_class_syntax	invalid	3	1	invalid_new_type
30212	invalid_new_initializer_result_type	invalid	3	1	invalid_new_type
30213	invalid_new_initializer_type	invalid	3	1	invalid_new_type
30214	invalid_new_type	invalid	3	5	invalid_new_type
30215	invalid_null_coalescing_type	invalid	3	2	cant_dereference
30216	invalid_op3_expression	invalid	3	1	operator_not_found
30218	invalid_pointer_arithmetic	invalid	3	2	operator_not_found
30219	invalid_quote_argument_count	invalid	3	1	invalid_argument_count
30220	invalid_result	invalid	3	1	invalid_return_type
30221	invalid_result_type	invalid	3	5	invalid_return_type
30222	invalid_return_semantics	invalid	3	2	invalid_return_semantics
30223	invalid_safe_as	invalid	3	1	invalid_type
30224	invalid_safe_dereference_type	invalid	3	3	cant_get_field
30225	invalid_safe_field_type	invalid	3	1	cant_get_field
30226	invalid_static_assert_argument_count	invalid	3	1	invalid_argument_count
30227	invalid_static_assert_comment_type	invalid	3	1	invalid_argument_type
30228	invalid_static_assert_condition_type	invalid	3	1	invalid_argument_type
30229	invalid_static_if_condition	invalid	3	1	condition_must_be_static
30230	invalid_storage_type_op	invalid	3	1	operator_not_found
30231	invalid_string_builder_argument	invalid	3	2	expecting_return_value,invalid_type
30232	invalid_structure	invalid	3	3	invalid_override,invalid_type
30233	invalid_structure_annotation	invalid	3	1	invalid_annotation
30234	invalid_structure_array	invalid	3	1	invalid_type
30235	invalid_structure_block_pipe	invalid	3	1	invalid_block
30236	invalid_structure_field_init	invalid	3	1	invalid_initialization_type
30237	invalid_structure_field_type	invalid	3	3	invalid_structure_field_type
30238	invalid_structure_initializer_required	invalid	3	1	invalid_type
30239	invalid_structure_local	invalid	3	1	invalid_type
30240	invalid_structure_name	invalid	3	1	invalid_name
30241	invalid_structure_template	invalid	3	1	invalid_type
30242	invalid_structure_tuple	invalid	3	1	invalid_type
30243	invalid_structure_type	invalid	3	1	invalid_type
30244	invalid_structure_variant	invalid	3	1	invalid_type
30245	invalid_super_call	invalid	3	2	function_not_found
30246	invalid_swizzle_mask	invalid	3	1	invalid_swizzle_mask
30247	invalid_swizzle_type	invalid	3	1	invalid_swizzle_mask
30248	invalid_table	invalid	3	2	invalid_table_type
30249	invalid_table_argument_type	invalid	3	4	invalid_argument_type
30250	invalid_table_expression	invalid	3	1	table_lookup_collision
30251	invalid_table_index_type	invalid	3	1	invalid_index_type
30252	invalid_table_key_type	invalid	3	4	invalid_argument_type
30253	invalid_table_safe_index_type	invalid	3	2	invalid_index_type
30254	invalid_table_type	invalid	3	2	invalid_table_type,invalid_type
30255	invalid_tuple	invalid	3	4	invalid_type
30256	invalid_tuple_argument_type	invalid	3	1	invalid_type
30257	invalid_tuple_block	invalid	3	1	invalid_block
30258	invalid_tuple_key	invalid	3	1	invalid_table_type
30259	invalid_tuple_key_type	invalid	3	1	invalid_table_type
30260	invalid_tuple_type	invalid	3	2	invalid_type
30261	invalid_tuple_variant	invalid	3	1	invalid_type
30262	invalid_type	invalid	3	10	invalid_new_type,invalid_type,syntax_error
30263	invalid_type_dimension	invalid	3	1	invalid_type
30264	invalid_type_expression	invalid	3	1	invalid_type
30265	invalid_typeinfo	invalid	3	1	typeinfo_auto
30266	invalid_typeinfo_annotation	invalid	3	1	typeinfo_undefined
30267	invalid_typeinfo_annotation_argument_type	invalid	3	1	typeinfo_undefined
30268	invalid_typeinfo_dim	invalid	3	1	typeinfo_dim
30269	invalid_typeinfo_dim_table	invalid	3	1	typeinfo_dim
30270	invalid_typeinfo_dim_table_type	invalid	3	2	type_not_found
30271	invalid_typeinfo_function	invalid	3	1	typeinfo_undefined
30272	invalid_typeinfo_has_field_type	invalid	3	1	typeinfo_undefined
30273	invalid_typeinfo_mangled_subexpression	invalid	3	2	typeinfo_undefined
30274	invalid_typeinfo_module_subexpression	invalid	3	1	typeinfo_undefined
30275	invalid_typeinfo_offsetof_type	invalid	3	1	typeinfo_undefined
30276	invalid_typeinfo_struct_get_annotation_argument_type	invalid	3	1	typeinfo_undefined
30277	invalid_typeinfo_struct_has_annotation_argument_type	invalid	3	1	typeinfo_undefined
30278	invalid_typeinfo_struct_has_annotation_type	invalid	3	1	typeinfo_undefined
30279	invalid_typeinfo_struct_modulename	invalid	3	1	typeinfo_undefined
30280	invalid_typeinfo_struct_name	invalid	3	1	typeinfo_undefined
30281	invalid_typeinfo_variant_index_type	invalid	3	1	invalid_type
30282	invalid_variable_name	invalid	3	3	invalid_name
30283	invalid_variable_private	invalid	3	1	variable_not_found
30284	invalid_variant	invalid	3	5	invalid_type,type_not_found
30285	invalid_variant_array	invalid	3	1	invalid_type
30286	invalid_variant_block	invalid	3	1	invalid_block
30287	invalid_variant_initializer_count	invalid	3	1	field_already_initialized
30288	invalid_variant_tuple	invalid	3	1	invalid_type
30289	invalid_variant_type	invalid	3	2	invalid_type
30290	invalid_variant_unique	invalid	3	3	invalid_type
30291	invalid_while_condition_type	invalid	3	1	invalid_loop
30292	invalid_with_array_type	invalid	3	1	invalid_with_type
30293	invalid_with_type	invalid	3	1	invalid_with_type
30294	invalid_yield	invalid	3	1	invalid_yield
30295	invalid_yield_in_block	invalid	3	1	invalid_yield
30300	missing_annotation	missing	3	2	concept_failed,static_assert_failed
30301	missing_assume_type	missing	3	1	invalid_assume
30302	missing_bitfield_init	missing	3	1	cant_get_field
30303	missing_block_argument_init	missing	3	1	cant_infer_missing_initializer
30304	missing_block_result	missing	3	1	not_all_paths_return_value
30305	missing_enumeration_zero	missing	3	1	invalid_type
30306	missing_finalizer	missing	3	1	function_already_declared
30307	missing_for_iterator	missing	3	1	invalid_loop
30308	missing_function_body	missing	3	1	invalid_member_function
30309	missing_function_name	missing	3	1	only_fast_aot_no_cpp_name
30310	missing_function_result	missing	3	3	expecting_return_value,invalid_member_function,not_all_paths_return_value
30311	missing_global	missing	3	1	cant_be_null
30312	missing_global_init	missing	3	2	cant_infer_missing_initializer,invalid_variable_type
30313	missing_global_shared_init	missing	3	1	invalid_variable_type
30314	missing_local	missing	3	1	cant_be_null
30315	missing_local_block_init	missing	3	1	invalid_variable_type
30316	missing_local_init	missing	3	2	cant_infer_missing_initializer,invalid_variable_type
30317	missing_local_reference_init	missing	3	1	invalid_variable_type
30318	missing_new_default_initializer	missing	3	1	invalid_new_type
30319	missing_result	missing	3	1	expecting_return_value
30320	missing_structure_field	missing	3	1	cant_infer_missing_initializer
